State & District,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
"district_code:427, state_name:MADHYA PRADESH, district_name:Sagar",2378458,1256257,1122201,1545719,908607,637112,501630,266306,235324,221936,114771,107165,1006035,682077,323958,779093,226942,1372423,203600,378560,140458,283417,2198297,103480,5580,4146,991,62992,168,2804,68482,366494,4546,24811,448408,165507,613915,347752,426916,297079,214137,137899,116753,14346,1554882,711804,2266686,1470688,569166,335432
"district_code:428, state_name:MADHYA PRADESH, district_name:Damoh",1264219,661873,602346,747715,445737,301978,246337,129877,116460,166295,84809,81486,574595,367711,206884,389993,184602,689624,114611,250165,67383,142436,1186420,47966,1681,1096,119,25005,82,1850,23270,187731,1432,10504,303387,66514,369901,197917,217296,150040,95032,64414,41158,5260,771117,469038,1240155,768929,312593,181403
"district_code:429, state_name:MADHYA PRADESH, district_name:Satna",2228935,1157495,1071440,1371781,801051,570730,398569,205987,192582,319975,163166,156809,911349,590487,320862,612510,298839,1317586,227967,371584,46056,265742,2158623,59471,2228,1163,364,3135,1689,2262,55196,294702,3754,22751,461831,114173,576004,338947,334635,309536,197373,148091,105499,16052,1450133,715509,2165642,1365647,535086,326049
"district_code:430, state_name:MADHYA PRADESH, district_name:Rewa",2365106,1225100,1140006,1441757,845572,596185,383508,198144,185364,311985,161696,150289,991946,617184,374762,630251,361695,1373160,258321,463506,50878,219241,2268838,85414,1964,832,986,655,232,6185,45180,251132,3406,31194,523910,94489,618399,344362,330131,312931,206274,180635,122371,11438,1508142,766166,2274308,1460075,540235,362228
"district_code:431, state_name:MADHYA PRADESH, district_name:Umaria",644758,330674,314084,356672,210907,145765,58147,29902,28245,300687,151988,148699,289691,175698,113993,138600,151091,355067,65369,145690,8767,69865,620515,15966,667,190,70,220,6028,1102,12713,67975,839,6360,138100,29966,168066,90791,94011,74854,43418,27216,18144,2784,351218,230782,582000,403030,158140,82984
"district_code:432, state_name:MADHYA PRADESH, district_name:Neemuch",826067,422653,403414,508834,307889,200945,111162,56400,54762,71441,36738,34703,418682,245708,172974,358500,60182,407385,175602,136330,4020,102730,741288,67324,1508,1110,224,14165,115,333,34666,145258,1945,8342,174235,67962,242197,137656,127167,83189,69134,53465,42343,6119,519073,289113,808186,476995,217403,131227
"district_code:433, state_name:MADHYA PRADESH, district_name:Mandsaur",1340411,682851,657560,834591,502898,331693,249024,126822,122202,33092,17023,16069,679723,397714,282009,535066,144657,660688,281465,266350,8556,123352,1192588,125548,1120,849,242,19029,77,958,47723,239885,2324,12507,302287,81832,384119,244891,217234,149219,109751,77219,52546,4956,855816,467002,1322818,781000,346861,211815
"district_code:434, state_name:MADHYA PRADESH, district_name:Ratlam",1455069,738241,716828,825880,485090,340790,198612,100629,97983,409865,206290,203575,690980,411446,279534,471139,219841,764089,218692,305946,11928,154414,1267043,151071,3996,1353,175,29353,123,1955,67830,213825,3644,14905,266716,107151,373867,224715,194131,129392,111461,86507,67192,5868,819266,622153,1441419,876905,363858,213560
"district_code:435, state_name:MADHYA PRADESH, district_name:Ujjain",1986864,1016289,970575,1240990,730817,510173,523869,267235,256634,48730,24925,23805,897442,569425,328017,682115,215327,1089422,289013,302003,19678,286748,1718204,233133,4659,3241,945,24622,211,1849,123526,323379,7501,27733,300765,188684,489449,286534,280030,178295,159263,119586,111290,13282,1148280,659279,1807559,1156749,508302,320502
"district_code:436, state_name:MADHYA PRADESH, district_name:Shajapur",1512681,780520,732161,894612,543509,351103,353914,182961,170953,37836,19416,18420,717871,431857,286014,508833,209038,794810,287924,303157,8809,117981,1321003,174724,815,631,179,13755,66,1508,32204,232735,1382,10797,312611,73997,386608,271215,239081,141225,111366,75967,48671,3391,890916,544791,1435707,901161,369741,240768
"district_code:437, state_name:MADHYA PRADESH, district_name:Dewas",1563715,805359,758356,925369,550716,374653,292007,150260,141747,272701,139174,133527,742676,451501,291175,528526,214150,821039,260222,310606,11816,160032,1376591,174259,2355,2330,382,6497,72,1229,59521,270457,3518,16523,274995,101014,376009,242508,225380,149522,125772,94403,55383,4991,897959,565365,1463324,943954,388648,230280
"district_code:438, state_name:MADHYA PRADESH, district_name:Dhar",2185793,1112725,1073068,1077338,638479,438859,145436,74291,71145,1222814,614619,608195,1027974,597079,430895,783019,244955,1157819,385522,437437,15830,189185,2051219,116202,2261,1607,328,12199,88,1889,75637,349639,2388,18626,412348,103364,515712,262090,244058,164576,134279,99882,66721,6543,978149,1021851,2000000,1377326,533243,273050
"district_code:439, state_name:MADHYA PRADESH, district_name:Indore",3276697,1699627,1577070,2309130,1289631,1019499,545239,280184,265055,217679,112687,104992,1268195,939055,329140,1137251,130944,2008502,150907,185528,43584,888176,2728225,415142,18523,25696,11496,71667,720,5228,417170,593576,48691,111478,200371,587947,788318,428413,472233,384611,362209,300076,382658,36326,2366526,718174,3084700,1877270,894464,493096
"district_code:440, state_name:MADHYA PRADESH, district_name:Khargone (West Nimar)",1873046,953121,919925,986234,575428,410806,209091,107013,102078,730169,366827,363342,894119,518254,375865,756735,137384,978927,307085,425712,11524,149798,1725441,135085,2075,2896,284,6028,89,1148,51538,304291,2162,14189,383543,76620,460163,287410,256930,152267,114246,89581,64150,5291,969875,932619,1902494,1166866,450248,254570
"district_code:441, state_name:MADHYA PRADESH, district_name:Barwani",1385881,699340,686541,549926,313642,236284,87991,44478,43513,962145,482182,479963,653897,365928,287969,525791,128106,731984,287704,267196,7451,91546,1318869,58222,2967,2361,416,2289,263,494,30115,181139,1158,8516,250358,48912,299270,157337,137116,74067,59100,42649,30754,2581,503604,825034,1328638,923665,302833,158594
"district_code:442, state_name:MADHYA PRADESH, district_name:Rajgarh",1545814,790212,755602,804245,488797,315448,295718,151260,144458,53751,27477,26274,745603,429768,315835,471773,273830,800211,285095,330820,12123,117565,1433879,106928,1243,460,121,1599,50,1534,30688,231130,1611,12718,331894,69823,401717,239738,174381,103464,96386,72316,51499,4799,742583,706958,1449541,935230,363218,246447
"district_code:443, state_name:MADHYA PRADESH, district_name:Vidisha",1458875,769568,689307,862918,512344,350574,292144,154504,137640,67603,34993,32610,550402,401583,148819,397283,153119,908473,168615,228308,12408,141071,1287391,149548,1313,914,295,18490,70,854,41617,181510,1926,12888,292579,83830,376409,242021,214603,123650,104007,65581,59814,6780,816456,512311,1328767,919239,335690,203005
"district_code:444, state_name:MADHYA PRADESH, district_name:Bhopal",2371061,1236130,1134931,1660690,920314,740376,357516,185902,171614,69429,35966,33463,867457,644960,222497,706036,161421,1503604,73346,105195,24732,664184,1755861,525434,23432,10789,21688,25950,335,7572,281442,452912,40788,94729,118893,581826,700719,229082,303171,287198,211371,178165,266618,30845,1506450,462581,1969031,1405814,625594,330291
"district_code:445, state_name:MADHYA PRADESH, district_name:Sehore",1311332,683743,627589,780362,469208,311154,271281,141366,129915,145512,74391,71121,586087,364559,221528,372150,213937,725245,201307,227026,9917,147837,1163607,137980,1404,640,357,6232,66,1046,30868,212138,1566,11166,270427,59220,329647,193885,179388,136284,120687,77541,50655,6755,765195,508396,1273591,817608,305605,187611
"district_code:446, state_name:MADHYA PRADESH, district_name:Raisen",1331597,700358,631239,820220,479093,341127,225891,119226,106665,205006,105627,99379,517838,370366,147472,370241,147597,813759,138725,228151,17316,133646,1195235,120331,1725,2262,253,10637,190,964,34499,194373,1141,9931,251272,74441,325713,237981,210402,144108,117908,69419,48384,4607,832809,444877,1277686,832939,316319,181524
"district_code:447, state_name:MADHYA PRADESH, district_name:Betul",1575362,799236,776126,939769,529783,409986,159296,81621,77675,667018,333166,333852,786980,453887,333093,511287,275693,788382,253602,358157,11849,163372,1505745,37590,3271,1078,9651,3759,13048,1220,45270,230974,2109,13755,318945,87704,406649,239114,232532,176325,140402,105696,82761,5876,982706,603098,1585804,938819,392728,242592
"district_code:448, state_name:MADHYA PRADESH, district_name:Harda",570465,294838,275627,352550,203807,148743,92865,48553,44312,159678,81446,78232,230979,156852,74127,163781,67198,339486,68019,101256,6459,55245,527462,38640,683,676,93,1573,55,1283,22174,95066,986,5376,112714,31845,144559,90059,87733,60757,46556,31939,27126,3469,347639,177731,525370,347774,138882,83417
"district_code:449, state_name:MADHYA PRADESH, district_name:Hoshangabad",1241350,648725,592625,810644,469199,341445,205007,107237,97770,197300,101041,96259,478082,345435,132647,361648,116434,763268,116440,181967,9982,169693,1175203,52269,4453,3127,1550,3888,107,753,61415,198076,2871,14456,209650,105746,315396,159703,183156,145076,119682,89589,84769,9279,791254,344492,1135746,730768,318232,191501
"district_code:450, state_name:MADHYA PRADESH, district_name:Katni",1292042,662013,630029,790773,460583,330190,155717,79369,76348,317699,159799,157900,543874,348410,195464,316144,227730,748168,112812,223902,31261,175899,1240650,37232,3158,1167,157,5342,2643,1693,38086,172416,2179,13094,276151,72880,349031,198447,207366,161727,112242,80935,53578,6658,820953,465374,1286327,778414,326582,185857
"district_code:451, state_name:MADHYA PRADESH, district_name:Jabalpur",2463289,1277278,1186011,1756468,980307,776161,348029,179858,168171,375231,189915,185316,1005624,705970,299654,744287,261337,1457665,106882,283636,69946,545160,2159065,203652,23142,13256,4320,33728,21010,5116,192581,452023,20443,58601,272284,352477,624761,267932,352284,313910,268333,222987,235072,24872,1685390,540029,2225419,1387369,679185,391903
"district_code:452, state_name:MADHYA PRADESH, district_name:Narsimhapur",1091854,568810,523044,718785,413491,305294,184155,96079,88076,145879,74127,71752,477818,323464,154354,358203,119615,614036,113866,257865,10594,95493,1038628,39048,914,997,262,8125,2873,1007,28462,172144,1603,9751,230659,53059,283718,160765,180070,128758,109996,82020,52763,5802,720174,356987,1077161,620415,289560,180831
"district_code:453, state_name:MADHYA PRADESH, district_name:Dindori",704524,351913,352611,378714,222759,155955,39782,20366,19416,455789,225699,230090,389925,203383,186542,250137,139788,314599,150084,190962,7958,40921,605435,6736,4238,260,61,687,84006,3101,4576,62372,554,6447,218021,9774,227795,103002,113875,84065,49277,31104,15179,1674,398176,295655,693831,419531,181841,102522
"district_code:454, state_name:MADHYA PRADESH, district_name:Mandla",1054905,525272,529633,604962,348033,256929,48425,24652,23773,610528,299918,310610,559649,300235,259414,325159,234490,495256,148931,318909,9453,82356,849518,16558,12450,436,297,1789,170533,3324,18413,143803,912,9042,279674,37258,316932,156711,170994,115632,82166,58066,35476,4587,623632,376944,1000576,614794,278553,160510
"district_code:455, state_name:MADHYA PRADESH, district_name:Chhindwara",2090922,1064468,1026454,1294198,731294,562904,232244,118465,113779,769778,385785,383993,957984,582263,375721,673845,284139,1132938,283111,422668,14585,237620,1923920,100692,4893,2258,24471,7830,25771,1087,73284,344875,3588,20034,413142,140802,553944,284113,336391,225747,215098,167946,112383,12141,1353819,663446,2017265,1232263,535316,321977
"district_code:456, state_name:MADHYA PRADESH, district_name:Seoni",1379131,695879,683252,864194,485341,378853,130797,66830,63967,519856,258121,261735,684434,394660,289774,397575,286859,694697,173665,376404,11957,122408,1145052,79739,1857,360,7288,4982,135315,4538,26893,228695,1182,10417,335045,47542,382587,223650,241327,151636,116124,84398,55984,6427,879546,458811,1338357,809922,363037,205237
"district_code:457, state_name:MADHYA PRADESH, district_name:Balaghat",1701698,842178,859520,1147623,626468,521155,125426,61576,63850,383026,186979,196047,893014,488610,404404,530506,362508,808684,257785,459796,19245,156188,1519384,38542,5295,1050,72162,4778,58064,2423,27283,277927,1712,13306,400074,70793,470867,290699,312640,235251,168635,126308,74213,7414,1215160,493415,1708575,969773,453605,276799
"district_code:458, state_name:MADHYA PRADESH, district_name:Guna",1241519,649362,592157,653980,400537,253443,193115,100646,92469,190819,98206,92613,514897,335454,179443,353671,161226,726622,213949,175615,12079,113254,1172248,49203,1208,3271,529,13474,52,1534,34184,144248,2482,11740,212765,72320,285085,197902,157141,84560,79924,50724,42147,6451,618849,578034,1196883,793150,285176,162104
"district_code:459, state_name:MADHYA PRADESH, district_name:Ashoknagar",845071,443837,401234,469109,290304,178805,175764,92216,83548,82072,42447,39625,315270,231829,83441,241288,73982,529801,116913,122387,10559,65411,778214,40707,635,8009,1352,15094,27,1033,15886,84720,619,6016,169606,37135,206741,148647,117053,62802,51499,29551,22791,3466,435809,359525,795334,535410,194772,114131
"district_code:460, state_name:MADHYA PRADESH, district_name:Shahdol",1066063,540021,526042,604194,348761,255433,89733,45547,44186,476008,236947,239061,493057,292402,200655,240811,252246,573006,95795,258991,14329,123942,997073,42426,2372,912,268,1737,19448,1827,24255,113184,1733,10817,233594,57846,291440,161972,154282,128427,80402,60915,46513,5352,637863,422736,1060599,645619,269145,150655
"district_code:461, state_name:MADHYA PRADESH, district_name:Anuppur",749237,379114,370123,436595,254120,182475,74385,37841,36544,358543,177977,180566,346471,207401,139070,227040,119431,402766,115448,130376,7051,93596,686524,21473,2132,606,86,1653,35434,1329,23388,81338,1290,7266,147388,60325,207713,113208,115716,93450,58536,42743,31646,3066,458365,271733,730098,444954,193520,109813
"district_code:462, state_name:MADHYA PRADESH, district_name:Sidhi",1127033,575912,551121,600785,353030,247755,130202,66174,64028,313304,159192,154112,461760,284289,177471,275482,186278,665273,102644,262030,15654,81432,1077545,34419,511,128,92,93,12556,1689,9569,102228,837,10790,250953,25916,276869,185550,168224,129344,80312,60845,33067,3896,661238,477472,1138710,721531,253685,150959
"district_code:463, state_name:MADHYA PRADESH, district_name:Singrauli",1178273,613637,564636,585054,359923,225131,150664,77882,72782,383994,196133,187861,499439,304234,195205,348393,151046,678834,147732,228472,8856,114379,1118998,46574,2332,1422,338,182,6139,2288,22141,73091,2627,13939,228732,58593,287325,189929,150446,103971,61089,42434,30597,7449,585915,517447,1103362,771725,267189,138276
"district_code:464, state_name:MADHYA PRADESH, district_name:Jhabua",1025048,515023,510025,352081,214582,137499,17427,8770,8657,891818,446359,445459,515121,265489,249632,370641,144480,509927,329175,115649,5132,65165,960925,15733,38423,141,65,8871,388,502,16683,125411,744,5591,211080,24713,235793,98308,79781,40466,38236,28990,20240,1973,307994,775664,1083658,684200,220769,119681
"district_code:465, state_name:MADHYA PRADESH, district_name:Alirajpur",728999,362542,366457,209754,120905,88849,26877,13481,13396,648638,321842,326796,366797,188698,178099,265029,101768,362202,256393,73693,4066,32645,705060,17660,4600,65,36,780,271,527,9021,81006,297,5126,135866,14662,150528,43866,44457,22410,18213,15358,10040,1028,155372,658684,814056,488848,155328,84149
"district_code:466, state_name:MADHYA PRADESH, district_name:Khandwa (East Nimar)",1310061,674329,635732,731615,432259,299356,156601,80697,75904,459122,234867,224255,612976,369676,243300,492393,120583,697085,179337,306623,9852,117164,1182330,116277,2800,1726,1425,3856,158,1489,40893,202710,1907,10404,265663,63425,329088,203486,201537,115166,77010,56847,42771,4970,701787,551824,1253611,809091,313456,186928
"district_code:467, state_name:MADHYA PRADESH, district_name:Burhanpur",757847,388504,369343,408679,233073,175606,64254,33037,31217,230095,116420,113675,328339,211925,116414,274900,53439,429508,67799,156295,8077,96168,552526,180840,1199,1074,19883,1884,99,342,40478,112420,986,5058,115979,62861,178840,107547,119468,69765,57058,42618,28237,4761,429454,317962,747416,469838,181605,106034
